popularity,release_date,revenue,runtime,title
875.581305,2015-06-17,1156730962,91.0,Minions
724.247784,2014-11-05,675120017,169.0,Interstellar
514.5699559999999,2016-02-09,783112979,108.0,Deadpool
481.09862400000003,2014-07-30,773328629,121.0,Guardians of the Galaxy
434.27856399999996,2015-05-13,378858340,120.0,Mad Max: Fury Road
418.708552,2015-06-09,1513528810,124.0,Jurassic World
271.972889,2003-07-09,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl
243.79174300000003,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes
206.227151,2014-11-18,752100229,123.0,The Hunger Games: Mockingjay - Part 1
203.73459,2014-10-24,652105443,102.0,Big Hero 6
202.04263500000002,2015-06-23,440603537,126.0,Terminator Genisys
198.37239499999998,2016-04-27,1153304495,147.0,Captain America: Civil War
192.528841,2014-10-10,13092000,105.0,Whiplash
187.322927,2008-07-16,1004558444,152.0,The Dark Knight
167.93287,2015-09-30,630161890,141.0,The Martian
167.58371,2010-07-14,825532764,148.0,Inception
165.12536599999999,2013-11-27,1274219009,102.0,Frozen
155.790452,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice
150.437577,2009-12-10,2787965087,162.0,Avatar
146.75739099999998,1999-10-15,100853753,139.0,Fight Club
145.84737900000002,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest
145.364591,2014-11-14,233555708,113.0,The Imitation Game
144.448633,2012-04-25,1519557910,143.0,The Avengers
143.659698,1972-03-14,245066411,175.0,The Godfather
143.350376,2014-08-07,477200000,101.0,Teenage Mutant Ninja Turtles
143.041543,2014-10-01,369330363,145.0,Gone Girl
140.849495,2015-07-16,243637091,105.0,Pixels
139.575085,2014-10-15,211817906,135.0,Fury
139.272042,2016-05-18,543934787,144.0,X-Men: Apocalypse
139.082615,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End
138.433168,2011-08-03,482860185,105.0,Rise of the Planet of the Apes
138.133331,1994-07-06,677945399,142.0,Forrest Gump
138.049577,2001-12-18,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring
136.886704,2013-06-25,970761885,98.0,Despicable Me 2
136.747729,1994-09-23,28341469,142.0,The Shawshank Redemption
135.413856,2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides
134.27922900000002,2015-04-22,1405403694,141.0,Avengers: Age of Ultron
132.397737,2002-11-13,876688482,161.0,Harry Potter and the Chamber of Secrets
131.815575,2014-09-10,348319861,113.0,The Maze Runner
130.311355,2015-05-19,209154322,130.0,Tomorrowland
128.65596399999998,2015-06-09,857611174,94.0,Inside Out
127.525581,1975-11-18,108981275,133.0,One Flew Over the Cuckoo's Nest
127.28442700000001,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2
127.084938,2008-11-20,392616625,122.0,Twilight
126.393695,1977-05-25,775398007,121.0,Star Wars
125.114374,2012-06-21,538983207,93.0,Brave
123.63033200000001,2003-12-01,1118888979,201.0,The Lord of the Rings: The Return of the King
121.463076,1994-10-08,213928762,154.0,Pulp Fiction
120.96574299999999,2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies
120.725053,2008-04-30,585174222,126.0,Iron Man
120.09361000000001,2015-07-14,519311965,117.0,Ant-Man
118.968562,2001-07-20,274925095,125.0,Spirited Away
118.07869099999999,2014-05-15,747862775,131.0,X-Men: Days of Future Past
116.840296,2014-06-25,1091405097,165.0,Transformers: Age of Extinction
116.700319,2015-03-04,104399548,120.0,Chappie
115.69981399999999,2007-05-01,890871626,139.0,Spider-Man 3
115.597753,2014-12-17,349424282,97.0,Night at the Museum: Secret of the Tomb
115.241998,2014-07-14,126546825,89.0,Lucy
115.040024,2005-06-10,374218673,140.0,Batman Begins
114.52223700000002,2015-07-23,682330139,131.0,Mission: Impossible - Rogue Nation
113.858273,2010-07-08,543513985,95.0,Despicable Me
113.161483,2015-09-09,311256926,132.0,Maze Runner: The Scorch Trials
112.31295,2012-07-16,1084939099,165.0,The Dark Knight Rises
110.62064699999999,2014-05-28,758539785,97.0,Maleficent
110.153618,2013-09-27,716392705,91.0,Gravity
109.984351,2001-11-16,976475550,152.0,Harry Potter and the Philosopher's Stone
109.68478799999998,2003-05-23,484572835,101.0,Bruce Almighty
109.528572,1997-05-07,263920180,126.0,The Fifth Element
108.849621,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey
107.92881100000001,2008-10-30,586090727,106.0,Quantum of Solace
107.37678799999999,2015-10-26,880674609,148.0,Spectre
107.069763,2010-06-23,698491347,124.0,The Twilight Saga: Eclipse
106.914973,2002-12-18,926287400,179.0,The Lord of the Rings: The Two Towers
106.815545,2001-11-01,562816256,92.0,"Monsters, Inc."
105.79293600000001,1974-12-20,47542841,200.0,The Godfather: Part II
104.469351,1993-11-29,321365567,195.0,Schindler's List
104.309993,1999-03-30,463517383,136.0,The Matrix
104.121555,1997-07-02,589390539,98.0,Men in Black
103.71838699999999,2015-03-18,295238201,119.0,Insurgent
103.698022,1999-12-10,284600000,189.0,The Green Mile
102.32221700000001,2015-04-01,1506249360,137.0,Furious 7
101.74155,1991-07-01,520000000,137.0,Terminator 2: Judgment Day
101.599427,2014-12-03,268031828,150.0,Exodus: Gods and Kings
101.250416,2005-11-05,895921036,157.0,Harry Potter and the Goblet of Fire
101.18705200000001,2015-03-12,543514353,105.0,Cinderella
100.87679399999999,2015-02-04,14674076,100.0,It Follows
100.635882,2015-12-25,532950503,156.0,The Revenant
100.412364,2015-05-27,470490832,114.0,San Andreas
100.348805,2013-08-07,269994119,110.0,We're the Millers
100.21391,2014-06-12,609123048,102.0,How to Train Your Dragon 2
100.025899,1997-11-18,1845034188,194.0,Titanic
99.687084,2012-11-13,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2
99.561972,2002-03-10,383257136,81.0,Ice Age
99.499595,2013-10-29,644571402,112.0,Thor: The Dark World
99.398009,2013-06-12,662845518,143.0,Man of Steel
98.885637,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince
98.755657,2015-02-11,571006128,125.0,Fifty Shades of Grey
95.9229,2013-10-18,187000000,134.0,12 Years a Slave
95.914473,2004-07-15,347234916,115.0,"I, Robot"
95.301296,2000-05-01,457640427,155.0,Gladiator
95.130041,2015-01-21,36869414,108.0,Ex Machina
95.00793399999999,2013-12-25,392000694,180.0,The Wolf of Wall Street
94.815867,2009-03-15,709827462,130.0,The Twilight Saga: New Moon
94.370564,2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug
94.19931600000001,2016-04-07,966550600,106.0,The Jungle Book
94.184658,1979-05-25,104931801,117.0,Alien
94.05613100000001,1982-06-25,33139618,117.0,Blade Runner
93.06786600000001,1960-06-16,32000000,109.0,Psycho
93.004993,2012-10-25,1108561013,143.0,Skyfall
92.98200899999999,1992-11-25,504050219,90.0,Aladdin
92.201962,2009-05-13,735099082,96.0,Up
91.332849,2002-07-03,441818803,88.0,Men in Black II
91.28568299999999,2010-12-02,327803731,108.0,Black Swan
90.80940799999999,2006-05-27,83258226,118.0,Pan's Labyrinth
90.457886,1994-06-23,788241776,89.0,The Lion King
90.33681,2012-08-08,276572938,120.0,The Bourne Legacy
90.23791999999999,2016-08-02,745000000,123.0,Suicide Squad
89.938296,2011-10-25,371940071,107.0,The Adventures of Tintin
89.866276,2012-06-27,752215857,136.0,The Amazing Spider-Man
89.811154,2014-08-27,103215094,119.0,Birdman
89.270217,2014-04-16,705717432,142.0,The Amazing Spider-Man 2
89.186492,2013-06-20,743559607,104.0,Monsters University
89.095538,2014-10-23,38697217,117.0,Nightcrawler
88.935165,2006-11-14,599045960,144.0,Casino Royale
88.84477700000001,2014-12-16,325771424,109.0,Taken 3
88.496873,2013-09-18,122126687,153.0,Prisoners
88.377076,1966-12-23,6000000,161.0,"The Good, the Bad and the Ugly"
87.53437,2014-12-11,542307423,133.0,American Sniper
87.350802,1998-11-25,363258859,95.0,A Bug's Life
86.493424,2011-04-21,449326618,115.0,Thor
86.47681700000001,2002-06-14,214034224,119.0,The Bourne Identity
86.201184,1968-04-10,68700000,149.0,2001: A Space Odyssey
86.105615,2016-03-09,179246868,121.0,Allegiant
85.688789,2003-05-30,940335536,100.0,Finding Nemo
85.428395,2014-08-20,39407616,102.0,Sin City: A Dame to Kill For
85.36908000000001,2015-02-04,183987723,124.0,Jupiter Ascending
85.30318,1994-07-29,351583407,101.0,The Mask
85.11505799999999,2006-03-23,660940780,91.0,Ice Age: The Meltdown
84.68964799999999,2008-06-04,631744560,90.0,Kung Fu Panda
84.630969,2006-03-15,132511035,132.0,V for Vendetta
84.366984,2014-11-22,373552094,92.0,Penguins of Madagascar
83.89325699999999,2006-06-30,326551094,109.0,The Devil Wears Prada
83.295796,2014-01-26,222809600,106.0,Non-Stop
82.975841,2014-07-17,108782847,104.0,The Purge: Anarchy
82.643036,2006-06-08,461983149,117.0,Cars
82.502566,2002-05-01,821708551,121.0,Spider-Man
82.21166,2009-06-05,459270619,100.0,The Hangover
